"","peak","C","O","H","N","S","P","MolForm"
"526",309.1708179,17,5,26,0,0,0,NA
"527",310.0570085,13,8,13,1,0,0,NA
"528",310.9870144,12,8,8,0,1,0,NA
"529",311.0231096,13,7,12,0,1,0,NA
"530",311.0411146,13,9,12,0,0,0,NA
"531",311.059504,14,6,16,0,1,0,NA
"532",311.0773552,14,8,16,0,0,0,NA
"533",311.080591,11,8,20,0,1,0,NA
"534",311.0925244,18,5,16,0,0,0,NA
"535",311.0995478,12,5,24,0,2,0,NA
"536",311.113684,15,7,20,0,0,0,NA
"537",311.1500634,16,6,24,0,0,0,NA
"538",311.1686769,17,3,28,0,1,0,NA
"539",312.07261,13,8,15,1,0,0,NA
"540",312.0988252,12,3,26,0,2,1,NA
"541",313.002498,12,8,10,0,1,0,NA
"542",313.0388373,13,7,14,0,1,0,NA
"543",313.0566615,13,9,14,0,0,0,NA
"544",313.071853,17,6,14,0,0,0,NA
"545",313.0751614,14,6,18,0,1,0,NA
"546",313.0784608,11,6,22,0,2,0,NA
"547",313.0929557,14,8,18,0,0,0,NA
"548",313.09606,11,8,22,0,1,0,NA
"549",313.1083136,18,5,18,0,0,0,NA
"550",313.1292906,15,7,22,0,0,0,NA
"551",313.1655956,16,6,26,0,0,0,NA
"552",313.2385056,18,4,34,0,0,0,NA
"553",314.1722266,14,5,25,3,0,0,NA
"554",314.2084954,15,4,29,3,0,0,NA
"555",115.0400887,5,3,8,0,0,0,NA
"556",115.0764783,6,2,12,0,0,0,NA
"557",117.0193552,4,4,6,0,0,0,NA
"558",118.0299057,7,1,5,1,0,0,NA
"559",119.034998,4,4,8,0,0,0,NA
"560",121.0295328,7,2,6,0,0,0,NA
"561",122.0247805,6,2,5,1,0,0,NA
"562",129.0193535,5,4,6,0,0,0,NA
"563",129.0921497,7,2,14,0,0,0,NA
"564",131.0350249,5,4,8,0,0,0,NA
"565",133.0506715,5,4,10,0,0,0,NA
"566",135.0452037,8,2,8,0,0,0,NA
"567",137.0244632,7,3,6,0,0,0,NA
"568",138.0196892,6,3,5,1,0,0,NA
"569",143.0350335,6,4,8,0,0,0,NA
"570",143.107804,8,2,16,0,0,0,NA
"571",145.0506851,6,4,10,0,0,0,NA
"572",146.0248479,8,2,5,1,0,0,NA
"573",147.0299447,5,5,8,0,0,0,NA
"574",147.0663444,6,4,12,0,0,0,NA
"575",149.0244407,8,3,6,0,0,0,NA
"576",149.0456048,5,5,10,0,0,0,NA
"577",149.0608569,9,2,10,0,0,0,NA
"578",151.0401326,8,3,8,0,0,0,NA
"579",151.9846896,3,2,7,1,2,0,NA
"580",152.0353595,7,3,7,1,0,0,NA
"581",153.0194098,7,4,6,0,0,0,NA
"582",154.0146055,6,4,5,1,0,0,NA
