peak,C,O,H,N,S,P,MolForm
309.0617109,14,8,14,0,0,0,NA
309.082789,11,10,18,0,0,0,NA
309.0979554,15,7,18,0,0,0,NA
309.1097761,10,6,21,3,0,1,NA
309.119234,12,9,22,0,0,0,NA
309.1343937,16,6,22,0,0,0,NA
309.1708179,17,5,26,0,0,0,NA
309.2071441,18,4,30,0,0,0,NA
310.9296897,10,7,3,1,1,1,NA
310.9866123,12,8,8,0,1,0,NA
311.0411146,13,9,12,0,0,0,NA
311.0773552,14,8,16,0,0,0,NA
311.0981325,11,10,20,0,0,0,NA
311.0990494,12,5,24,0,2,0,NA
311.113684,15,7,20,0,0,0,NA
311.1500634,16,6,24,0,0,0,NA
311.1686769,17,3,28,0,1,0,NA
311.1864674,17,5,28,0,0,0,NA
311.2228897,18,4,32,0,0,0,NA
311.2955015,20,2,40,0,0,0,NA
312.07261,13,8,15,1,0,0,NA
312.0988252,12,3,26,0,2,1,NA
312.1089753,14,7,19,1,0,0,NA
313.035466,16,7,10,0,0,0,NA
313.0566615,13,9,14,0,0,0,NA
313.0598933,10,9,18,0,1,0,NA
313.071853,17,6,14,0,0,0,NA
313.0784608,11,6,22,0,2,0,NA
313.0929557,14,8,18,0,0,0,NA
313.09606,11,8,22,0,1,0,NA
313.1083136,18,5,18,0,0,0,NA
313.1292906,15,7,22,0,0,0,NA
313.1447279,19,4,22,0,0,0,NA
313.1655956,16,6,26,0,0,0,NA
313.2020784,17,5,30,0,0,0,NA
313.2385056,18,4,34,0,0,0,NA
313.2748048,19,3,38,0,0,0,NA
314.887788,5,6,4,2,4,0,NA
111.0087177,5,3,4,0,0,0,NA
129.0193535,5,4,6,0,0,0,NA
140.9763643,4,2,2,2,1,0,NA
143.107804,8,2,16,0,0,0,NA
145.0619095,5,3,10,2,0,0,NA
146.0459323,5,4,9,1,0,0,NA
147.0299447,5,5,8,0,0,0,NA
147.0663444,6,4,12,0,0,0,NA
149.0456048,5,5,10,0,0,0,NA
151.0401326,8,3,8,0,0,0,NA
151.9844043,3,2,7,1,2,0,NA
153.0194098,7,4,6,0,0,0,NA
153.0557953,8,3,10,0,0,0,NA
155.0350859,7,4,8,0,0,0,NA
157.0507429,7,4,10,0,0,0,NA
157.0871074,8,3,14,0,0,0,NA
157.1235033,9,2,18,0,0,0,NA
159.0299884,6,5,8,0,0,0,NA
159.0663768,7,4,12,0,0,0,NA
159.1027378,8,3,16,0,0,0,NA
160.0615197,6,4,11,1,0,0,NA
