"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-56.1599906446006,-280.799953223003,-1055.6700608101,-15.5620003118466,465.116279069767,0.425847331895482,-1,56,5,0,1,0,-39,0,-23,23,0,-0.2,1.1,0,-0.2,0.2,0,-0.200000000000004,0,-0.400000000000001,0.400000000000001,1,-0.625847331895482,24.947450586147,2.12923665947741,-0.2,0.625847331895482,0,-16.8080459439238,0,-10.1944886335961,10.1944886335961,1,5,0.319566753435326
-65.8885643006481,-461.219950104537,-1202.40005301393,-33.9770891797595,465.116279069766,0.358565511378111,-1,46,7,0,0,3,-34,0,-22,22,0,-0.190909090909091,-1.31818181818182,0.336363636363636,-0.2,0,0.572727272727273,1.10909090909091,0,0,0,1,-0.549474602287202,15.1758317052113,2.84632221601041,-0.2,0,1.64842380686161,-11.0821364777649,0,-7.88844125031845,7.88844125031845,1,7,0.259988618695926
-55.6799933732588,-445.43994698607,-1321.38006860626,-17.8816915400697,465.116279069767,0.338460219096102,-1,60,8,0,0,0,-44,0,-26,26,0,-0.161538461538462,-0.407692307692307,0.292307692307692,-0.2,0,0,0.492307692307691,0,0,0,1,-0.499998680634563,19.8999208380738,2.99998944507651,-0.2,0,0,-14.3999419479208,0,-8.79996569649865,8.79996569649865,1,8,0.250000659684459
-50.9999922038339,-458.999929834505,-1671.84009823169,0.52400038980824,467.4262450932,0.279901317104405,-1,86,9,0,0,0,-63,0,-36,36,0,-0.116666666666667,-0.066666666666666,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.396567983771072,24.0048466043122,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,9,0.280181748547943
-47.255991268294,-472.55991268294,-2022.30012785712,-6.65800093553997,465.116279069767,0.226701403920703,-1,112,10,0,0,0,-82,0,-46,46,0,-0.1,1.1,0,-0.2,0,0,-0.600000000000003,0,-0.400000000000001,0.400000000000001,1,-0.326701403920703,26.4905572391188,2.26701403920703,-0.2,0,0,-19.1895151214977,0,-10.8282645803523,10.8282645803523,1,10,0.30608989982875
-44.1927177755794,-486.119895531374,-2372.76015748255,-20.1334570118779,465.116279069768,0.187538053795545,-1,138,11,0,0,0,-101,0,-56,56,0,-0.0909090909090909,2.44545454545455,0,-0.2,0,0,-1.58181818181818,0,-0.890909090909092,0.890909090909092,1,-0.278447144704636,28.3257059692398,2.062918591751,-0.2,0,0,-20.5231616151683,0,-11.3930401034596,11.3930401034596,1,11,0.326485987153946
-54.1199929834505,-432.959943867604,-1376.28007484319,-10.8699993763066,465.116279069768,0.33005366276571,-1,66,8,0,0,0,-48,0,-28,28,0,-0.15,-0.2,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,-0.48005366276571,21.5835417425368,2.84042930212568,-0.2,0,0,-15.4425758127541,0,-9.24150255743987,9.24150255743987,1,8,0.260387556007476
-49.6133251906709,-446.519926716038,-1726.74010446862,3.71200024254727,481.479996742567,0.280987275230063,-1,92,9,0,0,0,-67,0,-38,38,0,-0.111111111111111,0.122222222222225,0,-0.2,0,0,0.155555555555553,0,-0.022222222222223,0.022222222222223,1,-0.392098386341174,25.973051543388,2.52888547707057,-0.2,0,0,-18.6705918848587,0,-10.6997386809646,10.6997386809646,1,9,0.28337558883609
-46.0079909564473,-460.079909564473,-2077.20013409406,-12.1480015592332,465.116279069766,0.218066747674311,-1,118,10,0,0,0,-86,0,-48,48,0,-0.1,1.7,0,-0.2,0,0,-1,0,-0.600000000000001,0.600000000000001,1,-0.318066747674311,27.4318762255687,2.18066747674311,-0.2,0,0,-19.7537402999907,0,-11.0672038883669,11.0672038883669,1,10,0.314399416887164
-43.058172037537,-473.639892412907,-2427.66016371949,-25.124366669781,465.116279069767,0.181241146918135,-1,144,11,0,0,0,-105,0,-58,58,0,-0.0909090909090909,2.99090909090909,0,-0.2,0,0,-1.94545454545455,0,-1.07272727272727,1.07272727272727,1,-0.272150237827225,29.0896342471205,1.99365261609948,-0.2,0,0,-20.9757749718587,0,-11.5847137939791,11.5847137939791,1,11,0.334040093570686
